a a l e n d	VERB type=participle tense=present
v e r z a u b e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r z a u b e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r z a u b e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r z a u b e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r z a u b e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r z a u b r e	VERB person=1st number=singular tense=present mood=indicative
v e r z e i c h n i s d i e n s t e n	NOUN case=dative number=plural
v e r z e i c h n i s d i e n s t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
v e r z e i c h n i s d i e n s t e s	NOUN case=genitive number=singular
v e r z e i c h n i s d i e n s t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v e r z i n k e n d	VERB type=participle tense=present
v e r z i n k e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r z i n k e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r z i n k e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r z i n k e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r z i n k s t	VERB person=2nd number=singular tense=present mood=indicative
v e r z i n k t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r z i n k t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r z i n k t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r z i n k t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r z i n k t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r z o e g e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r z o e g e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r z o e g e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r z o e g e r n d	VERB type=participle tense=present
v e r z o e g e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r z o e g e r s t	VERB person=2nd number=singular tense=present mood=indicative
v e r z o e g e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r z o e g e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r z o e g e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r z o e g e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r z o e g e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r z o e g r e	VERB person=1st number=singular tense=present mood=indicative
v e r z w e i f e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v e r z w e i f e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
v e r z w e i f e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v e r z w e i f e l n d	VERB type=participle tense=present
v e r z w e i f e l n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v e r z w e i f e l s t	VERB person=2nd number=singular tense=present mood=indicative
v e r z w e i f e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v e r z w e i f e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v e r z w e i f e l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v e r z w e i f e l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v e r z w e i f e l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v e r z w e i f l e	VERB person=1st number=singular tense=present mood=indicative
v e s t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
v e s t e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v e t e r i n a e r e n	NOUN case=dative number=plural
v e t e r i n a e r e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
v e t e r i n a e r i n n e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
v e t e r i n a e r i n	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v e t e r i n a e r	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v e t e r i n a e r s	NOUN case=genitive number=singular
v i r t u a l i s i e r e n d	VERB type=participle tense=present
v i r t u a l i s i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v i r t u a l i s i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v i r t u a l i s i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
v i r t u a l i s i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v i r t u a l i s i e r s t	VERB person=2nd number=singular tense=present mood=indicative
v i r t u a l i s i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v i r t u a l i s i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
v i r t u a l i s i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
v i r t u a l i s i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
v i r t u a l i s i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
v o g e l b e e r e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
v o g e l b e e r e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v o e g e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
v o e g e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
v o e g e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
v o e g e l n d	VERB type=participle tense=present
v o e g e l n	NOUN case=dative number=plural ; VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
v o e g e l	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
v o g e l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
v o g e l s	NOUN case=genitive number=singular
v o e g e l s t	VERB person=2nd number=singular tense=present mood=indicative
v o e g e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
v o e g e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
